sqft,bedrooms,bathrooms,age,distance_km,price_lakhs
2778,3,1,28,9.6,161.69
3296,1,2,9,16.5,183.58
2178,4,2,17,4.0,154.88
3742,5,4,2,22.3,236.23
1040,3,2,12,13.1,77.06
1559,1,2,10,11.8,101.86
3072,5,4,16,15.1,204.38
1683,4,2,29,16.0,105.06
2222,3,3,29,2.7,143.45
3814,5,1,21,17.4,222.92
3657,5,1,12,6.8,232.87
2319,5,1,5,18.1,153.97
3125,3,1,16,20.7,175.5
3229,3,4,26,20.3,185.05
3104,2,1,12,14.3,174.6
2097,4,1,18,13.5,132.09
3560,1,1,20,4.4,210.97
3193,5,1,18,19.6,198.85
1295,2,3,9,7.5,94.1
1551,1,1,2,12.9,92.8
2143,2,3,13,7.8,133.74
1863,3,4,25,4.2,142.62
2481,5,2,18,16.1,152.43
1854,1,1,4,2.3,127.47
2163,1,2,28,19.0,110.64
2029,1,2,4,8.6,124.18
2538,1,4,19,1.0,159.74
3919,1,2,16,13.3,232.74
1996,2,3,20,2.1,136.87
3802,5,2,9,7.6,246.0
2737,3,2,4,18.0,170.27
3796,3,2,3,2.5,239.83
1908,3,1,5,21.1,112.63
1900,3,1,25,1.1,128.46
1806,2,3,3,6.9,123.79
3180,4,3,29,18.8,194.24
3175,5,1,6,8.6,206.81
1472,1,3,6,3.4,97.71
2268,4,1,17,9.6,145.41
1782,3,4,2,7.5,134.96
3930,4,2,0,21.2,230.24
1209,5,2,23,8.5,92.52
1979,1,3,24,19.9,103.63
1934,1,1,3,22.4,108.4
1148,5,1,5,11.4,91.02
817,5,3,8,22.8,74.52
3796,3,1,21,10.1,220.19
1757,1,4,13,24.1,98.64
1183,4,2,27,3.1,92.31
1163,2,3,11,17.5,78.84
2498,2,3,27,12.9,142.02
3945,5,1,24,10.3,244.73
2131,3,3,19,16.2,132.73
1995,2,4,23,17.9,115.85
3804,1,1,24,1.1,221.47
1636,5,1,3,5.0,136.45
2353,4,1,20,18.1,140.88
2020,5,1,29,17.0,121.59
2989,4,4,23,24.2,171.13
1063,5,1,11,19.3,79.43
1791,5,3,9,23.8,120.32
3957,5,4,29,17.9,244.53
3958,4,2,21,8.2,236.14
3684,4,2,27,3.5,225.76
2136,5,3,6,19.8,150.05
3499,2,3,2,16.5,210.0
3652,3,4,22,2.2,237.59
1198,3,2,27,9.6,77.26
2660,3,2,13,24.0,145.9
501,4,2,23,13.0,51.71
1141,4,2,9,11.4,94.67
2767,2,2,15,12.0,159.34
2089,3,1,15,6.0,130.3
1354,3,3,21,9.8,95.77
2259,5,1,9,9.9,150.77
3796,4,2,24,2.3,236.32
2932,3,4,12,19.4,172.42
3974,2,4,5,11.0,241.03
2161,2,2,11,20.7,116.84
1653,3,2,8,21.4,95.06
1576,4,4,12,6.1,127.05
2207,2,1,3,16.8,129.25
3277,5,1,23,12.3,204.7
2195,2,2,10,22.1,114.96
2233,1,1,19,6.2,131.82
1939,1,4,17,17.3,123.96
2794,4,1,25,15.6,163.59
1335,3,2,10,8.1,102.33
702,4,4,24,4.3,78.93
3755,4,1,20,16.6,223.43
622,4,3,3,18.7,58.9
900,4,4,17,8.6,86.21
1266,5,4,0,16.5,109.83
793,5,3,26,10.5,76.79
2827,2,3,6,18.1,162.28
3431,1,4,5,5.8,205.71
697,4,3,14,22.4,45.59
3529,2,2,17,7.9,209.46
2430,1,2,23,9.8,143.16
3299,3,2,10,2.4,207.54
2691,5,4,19,3.7,197.08
1108,1,3,23,13.4,64.15
3772,3,3,14,7.4,232.52
1647,1,1,15,21.1,79.08
686,5,1,6,1.4,70.23
3897,5,3,20,10.1,248.36
3011,2,3,9,9.1,196.15
3920,4,3,25,1.5,250.99
2294,1,4,11,4.0,142.22
1159,1,3,23,10.9,76.37
3311,3,1,13,12.8,188.42
3502,5,4,24,10.7,220.62
2455,1,3,4,13.7,146.79
2950,5,1,25,15.3,180.5
1869,1,4,20,1.2,122.81
2486,2,3,17,12.1,150.52
2034,4,3,4,24.1,132.43
646,1,3,2,13.5,53.79
3719,5,4,22,17.3,237.74
3411,2,1,25,8.5,206.45
2234,1,1,4,19.6,125.8
2343,3,2,23,19.6,133.56
988,4,3,16,13.5,83.54
3476,1,2,18,24.4,184.53
2459,2,2,18,4.0,158.78
2163,3,1,24,1.4,143.57
3098,2,4,20,19.5,174.43
2885,2,4,11,20.4,164.65
3419,3,1,24,3.9,208.28
1140,2,4,28,7.4,83.36
2302,3,2,8,1.4,156.83
3020,1,3,0,8.0,189.62
2469,3,1,17,19.6,150.88
2698,3,3,20,13.4,157.59
1938,4,4,3,9.4,148.02
3869,3,3,9,9.9,238.99
2134,3,4,24,1.0,154.32
762,1,4,6,8.2,62.02
2287,4,2,21,16.5,140.85
2691,5,4,22,24.4,167.07
2893,1,2,0,21.3,159.55
1123,1,2,16,1.6,73.34
1516,5,2,23,22.6,95.39
1380,3,1,28,19.8,68.86
2549,2,1,28,19.7,138.12
3444,4,4,1,12.0,216.29
1827,2,2,27,10.6,115.11
2801,5,1,25,8.3,182.24
952,1,2,10,2.6,74.91
3608,1,3,8,6.5,207.62
1683,4,3,6,6.9,127.74
3562,1,3,21,12.6,209.16
2556,1,4,16,18.9,143.41
3804,4,2,16,12.4,226.55
3670,4,3,1,2.4,242.89
2182,5,1,5,24.0,134.87
3363,1,3,13,23.6,178.19
2755,1,3,5,19.8,162.93
1654,5,3,1,24.8,113.49
903,3,4,0,14.1,75.47
2699,3,1,9,24.1,144.42
2601,3,2,20,2.8,172.62
3691,5,1,4,9.8,237.95
2196,1,2,1,6.4,136.24
1127,5,4,21,5.7,92.06
1086,5,4,15,4.4,107.0
2148,3,4,24,15.9,134.03
1943,2,4,1,19.8,124.39
1945,1,2,9,14.9,122.78
603,3,3,1,4.5,69.23
753,2,2,15,20.5,41.25
3798,2,1,15,16.3,207.09
3683,4,4,18,10.3,232.44
3057,1,4,28,17.2,171.6
1996,2,1,6,7.2,128.51
598,3,2,21,9.3,60.45
2700,4,3,11,23.0,166.5
2384,1,3,23,8.0,142.65
3461,5,1,14,12.3,212.46
2419,3,3,7,22.4,146.7
1377,2,2,5,18.0,80.6
837,2,2,27,2.5,66.13
3369,3,1,26,4.5,206.93
3734,2,2,9,1.2,232.25
1456,4,4,2,16.1,107.81
2204,1,1,18,11.7,113.05
660,4,2,16,4.2,74.58
2103,2,1,6,24.0,115.98
3348,5,3,20,13.7,214.84
897,1,2,19,6.8,53.27
1800,1,4,25,13.0,114.8
1315,3,2,3,17.3,86.54
2027,3,1,13,2.8,136.48
2419,5,1,19,7.6,156.98
1915,1,2,21,20.4,91.01
1658,5,4,14,12.0,133.48
1718,3,4,23,14.1,120.3
900,3,4,7,11.4,77.69
1139,1,1,20,2.1,72.73
3604,4,2,14,5.0,228.73
3235,2,3,21,11.7,190.24
959,3,1,19,6.0,66.95
1454,3,4,27,2.2,110.57
969,4,2,13,21.2,67.42
3946,4,4,26,24.5,233.32
1545,5,3,28,20.0,102.85
3297,5,4,8,21.5,200.95
2193,2,4,7,6.8,151.42
2585,2,3,25,24.1,138.48
2777,1,2,27,5.7,169.45
3936,5,1,25,23.8,231.07
1062,3,2,16,24.9,67.95
2985,5,3,1,18.1,192.25
2299,3,4,24,24.5,142.89
3854,4,2,23,14.7,230.88
2574,5,1,29,7.2,175.46
725,4,3,2,11.5,70.26
3848,2,2,7,15.2,222.11
1297,2,1,11,2.8,94.45
2831,1,3,0,15.9,168.38
3426,5,1,9,24.5,207.7
1459,4,3,19,5.6,112.26
2004,3,4,2,20.0,136.74
952,2,2,5,22.8,59.66
3567,2,1,6,23.6,193.9
1315,3,3,19,24.0,81.2
1158,4,1,22,13.5,76.82
1046,4,1,24,24.5,70.78
1715,5,2,26,19.2,97.06
3620,5,4,17,4.9,246.28
516,1,1,10,12.4,24.68
3743,2,3,18,18.2,212.2
1743,5,3,4,6.9,138.56
2705,4,4,18,16.4,180.43
3024,3,3,10,17.0,180.46
1569,4,4,23,4.9,128.76
3944,2,3,11,14.6,225.61
3065,4,2,9,19.5,192.31
2646,1,1,7,13.0,148.76
2268,2,2,23,1.3,147.35
1560,3,1,27,1.2,106.88
2827,1,1,27,9.6,163.58
3920,2,1,8,23.2,219.5
3044,3,2,3,6.5,199.14
801,1,1,4,16.2,41.26
680,1,2,20,6.3,45.76
1106,2,4,7,8.7,82.45
3670,5,3,22,21.4,209.13
1199,1,3,8,18.5,77.85
1492,1,1,14,3.3,94.86
1639,3,2,14,11.3,107.79
690,4,3,15,1.7,84.89
2800,2,2,13,12.5,164.42
1480,2,2,7,16.9,87.12
3475,5,1,17,3.8,224.64
2506,5,3,9,7.9,172.09
1684,2,1,27,10.5,100.44
3827,5,1,19,23.1,219.3
3894,3,3,5,24.8,221.87
627,2,3,11,2.1,61.1
2565,5,4,1,19.3,173.48
2316,2,4,6,9.9,153.52
2258,4,2,15,10.4,147.11
3113,1,3,2,19.1,176.7
1069,2,4,12,23.0,65.99
1846,1,2,2,23.8,98.76
2395,5,2,26,14.9,153.1
3233,1,2,17,9.6,183.61
1125,2,4,10,19.9,79.02
3859,4,3,7,7.0,249.03
3401,5,1,5,14.5,211.14
2186,2,2,0,9.6,143.43
3509,5,4,27,16.8,218.16
654,3,4,0,6.8,64.64
3037,1,1,22,5.6,177.22
1909,3,1,7,23.0,104.5
1284,2,4,4,3.4,109.61
3675,4,3,27,13.1,221.9
3964,5,1,15,6.3,254.36
745,1,4,10,1.9,66.04
3747,5,1,4,1.9,248.55
3610,2,3,3,5.2,233.66
2000,5,2,29,21.8,120.39
2205,1,1,5,7.8,130.96
3306,2,3,13,23.8,187.85
1037,5,4,21,15.0,90.31
2390,4,1,18,11.5,148.21
2341,2,1,8,14.9,127.25
1420,2,4,11,13.4,94.57
2955,4,2,10,19.2,182.87
1024,3,4,13,7.8,83.38
3375,1,1,22,9.5,189.37
2029,3,4,15,22.5,120.81
3450,5,3,0,23.7,204.65
535,4,4,12,22.4,45.37
1184,3,1,22,11.1,81.37
519,2,4,20,19.7,25.05
2868,5,2,20,12.4,185.62
3059,5,4,29,12.9,191.73
899,3,2,12,5.9,79.11
3201,3,3,1,15.2,202.99
1471,4,2,3,5.5,116.25
2406,1,4,27,9.0,144.38
3018,3,1,5,21.5,169.16
1666,3,2,25,6.0,106.2
1615,2,3,26,2.7,120.18
3925,5,2,22,2.7,249.01
1333,1,2,26,23.6,69.93
2323,2,2,4,13.2,139.03
3274,4,3,24,10.8,207.64
2482,4,4,2,20.5,156.42
1353,3,2,0,21.1,90.21
550,3,2,3,9.0,55.12
1074,4,1,24,17.6,67.29
3761,3,3,19,19.5,220.91
1648,1,2,1,16.7,95.35
2697,3,3,25,4.6,167.67
2861,5,2,29,22.0,172.66
3117,3,4,29,13.9,182.93
3913,2,4,4,7.8,246.84
2852,1,2,2,11.2,174.98
2215,2,4,28,1.9,146.47
1181,2,2,27,4.1,88.15
1337,5,4,28,19.4,97.96
1577,1,1,8,1.0,102.86
3550,1,1,19,11.0,205.46
2991,1,1,5,13.5,164.6
3160,1,3,17,2.3,193.36
3540,1,3,5,24.4,193.39
2811,5,1,18,6.4,188.75
3624,3,3,27,8.3,226.14
2095,2,4,11,8.3,146.13
3551,1,2,24,6.5,206.52
504,3,2,10,1.0,59.62
1626,3,2,1,18.5,96.2
1719,2,1,14,24.2,82.83
1273,5,3,11,6.4,119.77
1376,4,4,11,16.9,92.82
1491,4,4,8,18.8,103.32
3431,3,1,20,21.4,195.75
3921,2,4,23,11.1,234.18
546,4,4,1,8.3,75.31
3414,3,4,21,8.8,217.02
3370,5,4,2,18.1,226.68
3483,4,3,11,20.6,211.42
3203,3,4,27,5.4,207.7
768,3,2,29,9.9,53.64
869,1,1,25,22.6,37.61
1135,5,3,15,20.4,82.96
1629,1,4,20,24.6,84.31
2193,2,3,27,19.1,127.87
2182,1,4,23,10.4,137.34
1156,1,2,25,15.2,71.28
619,4,1,29,16.9,50.78
1330,3,4,0,2.9,119.76
2310,5,4,20,14.1,150.03
1581,1,4,2,18.0,108.19
2474,5,4,19,5.0,183.56
1869,1,1,1,19.7,98.93
1240,2,1,8,15.0,80.14
616,1,2,18,23.9,20.31
2353,4,1,14,2.0,165.01
3338,3,4,17,7.4,206.83
1650,2,2,25,15.4,91.23
3964,1,2,10,8.1,235.35
2431,5,2,24,18.1,157.25
1512,2,4,22,19.2,92.95
2164,2,3,15,3.5,143.89
1581,1,4,21,13.3,86.52
1133,2,1,16,13.2,68.53
1012,5,1,4,9.9,90.85
3349,2,4,11,23.4,190.13
1619,5,4,10,20.9,116.35
1641,1,2,29,17.7,83.99
1059,3,4,14,18.1,74.82
987,2,2,26,12.1,62.74
3808,3,1,2,23.1,214.56
1396,5,2,0,17.7,112.26
3843,2,4,19,18.5,210.53
1712,4,1,28,21.7,94.69
1203,3,3,15,7.6,88.69
1970,2,2,1,20.4,117.57
1080,3,1,1,5.7,87.55
3337,2,2,2,9.3,212.69
3408,1,1,7,9.1,207.48
2794,3,1,23,24.5,146.2
3647,4,2,27,21.6,207.87
653,4,3,14,17.8,57.44
2179,5,1,6,18.4,137.38
1496,2,1,5,14.5,95.52
3657,3,1,8,23.7,203.3
3244,5,3,19,12.9,203.0
3856,3,3,27,10.1,229.76
1743,2,4,0,4.9,125.0
1592,4,2,7,19.9,110.06
3618,1,3,22,18.6,208.38
1508,4,2,22,10.2,107.12
2641,5,4,2,1.6,199.59
2273,1,2,3,21.1,126.76
1457,5,3,25,1.3,127.49
3559,2,2,24,17.9,203.47
952,1,3,14,24.3,48.02
1727,5,2,5,11.5,129.95
3459,2,3,14,6.6,216.49
2765,4,3,20,17.9,164.41
3021,2,2,2,20.6,179.7
2979,3,4,24,14.1,191.5
2888,2,1,20,24.2,157.13
1050,2,4,20,2.2,80.88
2135,3,2,13,13.1,125.15
1812,5,4,19,18.2,130.26
3825,5,3,13,21.7,228.33
2257,2,1,3,5.3,147.51
856,3,2,11,20.2,64.62
2570,3,2,16,14.3,153.01
2285,4,2,6,10.5,152.79
3069,5,1,8,4.2,207.94
2281,1,3,2,21.8,123.01
3671,5,2,27,4.8,231.06
3349,5,4,12,8.4,225.94
3751,4,2,14,8.0,233.6
3794,1,2,17,21.9,206.13
3309,4,2,18,17.1,212.1
2989,1,2,0,20.1,168.27
2131,2,3,5,7.0,139.1
3316,1,4,26,16.0,194.37
1515,4,3,26,14.7,94.84
1848,5,4,22,21.0,117.2
1015,1,2,26,22.7,42.71
3587,1,1,26,1.3,207.91
3339,3,3,1,17.2,201.51
835,5,1,23,2.2,79.93
2282,2,3,13,14.2,141.14
2805,4,2,5,7.9,192.14
996,2,3,13,8.4,76.46
1395,5,2,3,9.5,110.82
2707,1,3,20,15.9,157.88
1351,1,2,7,9.0,84.12
2187,5,2,29,18.6,127.7
2431,1,4,2,10.7,160.59
3237,1,2,18,2.6,200.92
2927,1,4,29,19.8,156.16
2068,4,2,13,7.9,141.06
1456,4,1,26,11.4,91.92
3238,3,2,19,17.5,189.62
3998,2,1,16,9.0,240.85
2136,5,1,24,2.4,154.51
1791,5,2,7,10.0,138.38
1940,5,1,23,23.7,119.16
1691,3,4,13,16.4,113.62
1566,4,3,25,17.1,108.53
784,3,2,5,16.2,63.91
2944,5,1,22,5.8,199.36
511,2,2,21,11.0,37.21
2130,1,4,15,19.0,114.16
3873,4,2,24,3.4,248.56
3824,4,2,18,7.7,239.63
3046,3,1,13,7.6,186.73
1253,4,4,18,11.4,97.83
2582,5,3,2,24.5,177.58
3274,5,3,9,2.6,223.14
3396,3,1,18,13.4,194.23
589,5,2,8,5.3,72.76
1275,2,1,27,24.3,65.57
3152,3,1,19,3.7,207.71
3517,2,1,12,10.7,208.58
2125,1,2,6,18.7,113.18
3569,2,4,13,17.9,219.47
917,1,1,8,11.1,57.82
614,1,2,26,9.3,35.52
1116,2,4,27,10.5,72.58
3767,3,1,22,7.3,228.81
1325,5,3,24,5.9,110.39
2149,5,4,27,12.6,150.5
2016,1,1,18,7.4,125.23
3646,1,4,14,7.9,215.94
912,3,4,19,16.8,74.73
3947,4,4,13,24.2,231.25
3991,2,4,23,15.5,242.53
1228,1,4,5,2.8,99.67
3848,5,4,20,2.8,252.18
3568,3,1,28,23.8,181.35
3308,2,3,3,8.1,211.56
1175,3,2,7,3.2,94.61
3965,2,4,16,15.4,232.42
2392,2,2,29,16.0,137.59
3004,1,1,8,16.6,171.15
3467,3,4,0,7.4,233.42
2739,3,3,23,1.4,175.89
3286,5,2,19,24.2,200.72
1622,5,4,24,7.0,124.81
2071,1,1,13,17.2,100.78
1477,1,3,10,18.0,80.74
1508,4,2,20,15.6,101.31
2643,5,2,2,8.5,178.97
2187,2,4,8,7.5,147.64
3210,3,3,26,15.3,191.48
3761,1,3,13,21.8,205.59
536,3,3,29,23.7,28.97
3940,3,3,8,3.5,245.05
2048,4,1,3,4.7,146.41
2826,5,3,26,23.7,159.27
2764,1,2,3,18.7,152.45
3414,3,2,27,22.2,184.19
1372,1,1,7,5.9,88.38
2321,2,2,1,15.1,141.07
1796,4,2,8,17.8,123.02
2609,2,3,28,17.3,155.95
1095,1,2,13,10.8,63.98
2403,1,1,21,1.4,156.05
1228,5,3,8,15.0,95.44
1865,3,4,23,7.1,131.22
896,3,3,22,11.8,70.87
1198,2,1,15,24.0,72.81
3590,4,3,28,10.6,218.32
2724,3,3,29,21.2,145.8
2135,5,1,16,5.5,157.88
895,2,3,15,17.1,55.04
2992,2,1,29,24.4,151.37
3804,5,1,11,3.4,241.15
575,4,4,2,1.2,78.59
764,5,2,10,11.4,69.64
3002,4,2,13,3.2,203.45
2319,5,3,17,19.0,151.35
1217,5,3,20,22.9,81.05
3282,1,4,20,11.4,198.31
3955,2,4,4,7.2,248.56
1350,5,4,15,11.4,101.84
1890,5,1,19,18.4,124.87
643,3,4,4,1.2,78.75
1384,2,4,2,15.1,104.15
3640,3,3,11,15.7,219.58
3670,2,4,0,16.3,218.33
895,3,1,20,6.8,67.04
3596,5,1,28,18.1,214.88
3495,5,3,8,3.2,234.33
3438,1,4,28,5.8,203.23
1992,3,4,8,22.1,124.23
3722,4,1,3,18.7,215.82
1667,1,4,2,1.3,120.04
3116,3,4,16,7.0,202.94
1562,3,4,1,6.1,129.7
2656,1,2,23,7.5,156.97
1565,5,3,0,6.9,130.57
1709,3,2,7,2.5,122.54
3482,5,3,12,12.0,230.79
2945,1,1,22,18.6,157.02
3794,5,4,14,15.6,237.32
1133,2,3,7,17.1,79.99
1656,4,2,11,2.9,130.0
3734,3,4,21,23.8,209.84
1738,4,1,11,21.1,105.86
1232,5,3,13,20.3,88.74
734,3,3,14,20.8,64.98
3205,5,3,14,23.4,198.25
1250,2,4,8,14.1,89.56
3135,1,2,18,5.8,188.13
3580,3,2,25,15.8,213.34
3645,2,3,19,18.8,206.4
1453,2,1,28,18.7,72.83
3039,3,1,21,13.5,181.77
3460,5,2,7,2.6,233.01
3824,2,1,20,9.9,214.59
3801,4,2,18,23.1,211.81
2042,2,3,5,15.0,136.46
1697,5,2,19,13.9,119.21
2176,5,2,24,7.5,147.63
1691,4,3,28,9.8,116.37
2717,2,1,18,22.5,148.77
1916,5,2,3,17.0,131.81
3493,3,2,22,19.9,190.69
3342,1,3,6,11.9,199.76
3181,1,1,27,16.1,174.88
1717,1,2,27,7.0,108.44
2040,2,3,3,17.9,123.22
2576,4,2,21,11.3,170.07
3736,5,4,11,11.6,244.72
1945,3,3,12,16.6,130.46
2886,3,1,2,23.5,167.6
2019,2,1,21,2.5,121.54
1888,1,1,11,20.8,107.21
2356,2,1,1,8.0,149.34
1865,4,2,23,11.7,126.22
999,4,2,1,1.5,90.02
2180,5,1,26,8.2,148.19
1010,5,1,22,13.1,82.54
3898,4,1,8,2.3,258.61
716,4,2,0,12.8,75.02
1824,4,1,7,23.3,112.83
1655,2,1,22,3.5,99.8
2327,4,4,5,19.3,154.49
3641,3,4,5,10.8,227.83
3823,1,1,21,16.7,207.0
3986,4,3,24,7.2,242.41
2310,1,1,17,4.8,137.44
2992,2,4,16,4.9,189.69
3423,1,3,28,2.7,202.08
1705,2,3,11,5.5,116.58
2714,3,1,5,16.9,161.31
590,2,4,25,22.2,37.24
1213,2,4,26,20.5,59.22
2381,5,3,7,17.4,148.39
538,4,1,18,3.7,56.76
3697,4,2,27,7.9,226.07
672,3,2,9,8.4,62.73
1152,3,4,0,7.0,96.82
1253,4,2,24,13.4,87.28
1743,5,4,28,13.9,125.12
1581,4,4,12,9.6,117.96
2183,5,4,16,9.5,163.83
3023,3,2,2,20.9,179.77
955,1,4,7,19.9,63.08
1328,3,3,13,8.4,100.1
1394,3,1,2,22.9,93.91
1884,2,1,15,23.9,101.42
2458,2,4,12,8.8,157.39
3572,2,1,19,9.5,211.06
2934,2,2,23,13.1,161.26
2496,5,2,16,23.6,152.66
2895,4,1,12,22.0,170.12
689,1,2,28,3.5,50.65
1004,3,1,5,10.4,74.07
1714,5,1,16,14.3,111.65
2031,1,1,13,13.1,110.84
3940,5,4,16,5.7,260.47
3980,5,1,29,21.6,221.81
1323,3,4,7,17.2,103.68
1428,4,1,10,21.1,76.52
1433,2,1,19,21.6,73.18
1640,4,1,27,19.0,97.65
633,3,2,0,11.5,62.05
2605,3,4,25,15.7,155.36
1184,3,4,6,4.8,108.13
3219,1,1,20,17.2,165.44
2720,4,1,20,5.3,172.91
2352,4,2,16,17.7,148.82
1314,5,2,29,6.5,107.57
1672,5,2,9,3.8,126.28
579,5,4,10,5.0,91.57
3433,3,4,21,1.0,220.23
3784,4,4,29,18.2,219.12
702,3,1,8,18.6,50.6
3311,1,4,8,13.4,195.58
1752,5,3,23,4.9,131.8
2199,3,3,4,3.0,160.72
1750,3,2,16,1.5,118.91
